Driver,Team,QualiPosition,QualiLap,AvgLapTime (s),RacePosition,TotalRaceTime_s,Seat,Round,Circuit,TrackTemp,Rainfall,DriverMomentum,Quali_form,Race_form,DNF
SAR,Williams,15.0,72.02,76.233214285,15.0,8604.58,Williams_2,8,Monaco,46.318000000000005,False,-1.0,16.642857142857142,16.07142857142857,0
STR,AstonMartin,13.0,71.563,78.222666666,14.0,8601.521,AstonMartin_2,8,Monaco,46.318000000000005,False,2.0,12.4375,13.375,0
TSU,RacingBulls,8.0,70.858,77.53805,8.0,8635.041,RacingBulls_2,8,Monaco,46.318000000000005,False,0.0,9.125,9.625,0
VER,RedBullRacing,6.0,70.567,77.08855102,6.0,8609.407,RedBullRacing_1,8,Monaco,46.318000000000005,False,0.3333333333333333,3.8125,5.0,0
ZHO,KickSauber,18.0,73.028,77.8008,16.0,8650.814,KickSauber_2,8,Monaco,46.318000000000005,False,-3.333333333333333,18.1875,15.5625,0
ALB,Williams,10.0,72.485,79.649,17.0,,Williams_1,9,Montréal,24.569911504424784,True,3.333333333333333,11.22222222222222,15.5625,1
ALO,AstonMartin,6.0,72.228,77.678071428,6.0,6365.437,AstonMartin_1,9,Montréal,24.569911504424784,True,-3.0,7.555555555555555,7.444444444444445,0
BOT,KickSauber,17.0,73.366,78.6058,13.0,6388.414,KickSauber_1,9,Montréal,24.569911504424784,True,-0.6666666666666666,15.944444444444445,14.5,0
GAS,Alpine,15.0,72.94,78.202076923,9.0,6377.947999999999,Alpine_1,9,Montréal,24.569911504424784,True,0.3333333333333333,15.22222222222222,11.1875,0
HAM,Mercedes,7.0,71.979,76.801,4.0,6352.842,Mercedes_1,9,Montréal,24.569911504424784,True,-1.3333333333333333,8.11111111111111,6.166666666666667,0
HUL,Haas,19.0,73.978,78.01125,11.0,6378.750999999999,Haas_1,9,Montréal,24.569911504424784,True,1.5,15.833333333333332,11.0625,0
LEC,Ferrari,11.0,72.691,,,,Ferrari_1,9,Montréal,24.569911504424784,True,0.0,7.777777777777778,7.777777777777778,1
MAG,Haas,14.0,72.916,77.623181818,12.0,6379.179999999999,Haas_2,9,Montréal,24.569911504424784,True,-3.0,14.944444444444445,12.625,0
NOR,McLaren,3.0,72.021,76.92125,2.0,6351.806,McLaren_1,9,Montréal,24.569911504424784,True,-1.6666666666666667,3.6666666666666665,2.833333333333333,0
OCO,Alpine,18.0,73.435,78.352692307,10.0,6378.24,Alpine_2,9,Montréal,24.569911504424784,True,-0.5,16.38888888888889,11.625,0
PER,RedBullRacing,16.0,73.326,79.302,18.0,,RedBullRacing_2,9,Montréal,24.569911504424784,True,-1.5,11.444444444444445,11.75,1
PIA,McLaren,4.0,72.103,77.576705882,5.0,6358.125999999999,McLaren_2,9,Montréal,24.569911504424784,True,3.0,4.444444444444445,5.611111111111111,0
RIC,RacingBulls,5.0,72.178,78.187,8.0,6376.598999999999,RacingBulls_1,9,Montréal,24.569911504424784,True,0.3333333333333333,8.777777777777779,10.6875,0
RUS,Mercedes,1.0,71.742,77.0096875,3.0,6352.244,Mercedes_2,9,Montréal,24.569911504424784,True,0.6666666666666666,3.4444444444444446,5.055555555555555,0
SAI,Ferrari,12.0,72.728,79.5095,16.0,,Ferrari_2,9,Montréal,24.569911504424784,True,0.6666666666666666,8.5,10.5625,1
SAR,Williams,13.0,72.736,,,,Williams_2,9,Montréal,24.569911504424784,True,0.0,15.3125,15.3125,1
STR,AstonMartin,9.0,72.659,77.930461538,7.0,6371.552,AstonMartin_2,9,Montréal,24.569911504424784,True,1.0,10.27777777777778,9.555555555555555,0
TSU,RacingBulls,8.0,72.303,78.432272727,14.0,6400.621,RacingBulls_2,9,Montréal,24.569911504424784,True,0.0,9.0,12.77777777777778,0
VER,RedBullRacing,2.0,72.0,76.85717647,1.0,6347.927,RedBullRacing_1,9,Montréal,24.569911504424784,True,0.3333333333333333,1.8333333333333333,2.333333333333333,0
ZHO,KickSauber,20.0,74.292,78.636555555,15.0,6401.455,KickSauber_2,9,Montréal,24.569911504424784,True,-3.333333333333333,19.27777777777778,15.055555555555555,0
ALB,Williams,19.0,73.153,81.065653061,18.0,5358.376,Williams_1,10,Barcelona,41.09610389610391,True,4.333333333333333,16.05,16.27777777777778,0
ALO,AstonMartin,11.0,72.128,80.671,12.0,5309.724,AstonMartin_1,10,Barcelona,41.09610389610391,True,-1.0,10.15,10.6,0
